,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
5830,3281,Simona Amnar (-Tabr),F,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Team All-Around,Gold,20.0*158.0?44.0,125.35
5831,3281,Simona Amnar (-Tabr),F,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Women's Floor Exercise,Bronze,20.0:158.0?44.0,1352.66
5838,3285,Frank Amankwah,M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,20.0:nan?nan,955.47
5844,3289,Max Amann,M,Germany,GER,1928 Summer,1928,Summer,Amsterdam,Water Polo,Water Polo Men's Water Polo,Gold,23.0*nan?nan,751.12
5852,3295,Ingrda Amantova,F,Soviet Union,URS,1980 Winter,1980,Winter,Lake Placid,Luge,Luge Women's Singles,Bronze,19.0*170.0?69.0,396.49
5860,3301,"Alexandre ""Amaral"" da Silva Mariano",M,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Bronze,23.0(170.0?67.0,832.22
5870,3308,Catello Amarante,M,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,24.0?177.0?73.0,1979.82
5882,3317,Prince Amartey,M,Ghana,GHA,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Middleweight,Bronze,28.0?177.0?75.0,486.38
5887,3319,Jaime Santiago Amat Durn,M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Silver,26.0:168.0?73.0,1616.3
5898,3321,Jean-Pierre Bernard Andr Amat,M,France,FRA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze,34.0?175.0?74.0,220.43
5899,3321,Jean-Pierre Bernard Andr Amat,M,France,FRA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,34.0:175.0?74.0,1161.43
5906,3322,Juan Amat Fontanals,M,Spain,ESP,1980 Summer,1980,Summer,Moskva,Hockey,Hockey Men's Hockey,Silver,34.0:193.0?80.0,818.38
5907,3323,Pedro Amat Fontanals,M,Spain,ESP,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Bronze,20.0?183.0?67.0,563.93
5910,3324,"Pablo ""Pol"" Amat Escud",M,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Silver,18.0(183.0?78.0,1255.41
5913,3324,"Pablo ""Pol"" Amat Escud",M,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver,30.0:183.0?78.0,1777.0
5918,3325,Santiago Amat Cansino,M,Spain,ESP,1932 Summer,1932,Summer,Los Angeles,Sailing,Sailing Mixed One Person Dinghy,Bronze,45.0*nan?nan,61.48
5925,3329,Serena Bibiana Amato,F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's One Person Dinghy,Bronze,26.0(170.0?63.0,388.19
5928,3330,Amauri Ribeiro,M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Men's Volleyball,Silver,25.0*198.0?87.0,1255.84
5930,3330,Amauri Ribeiro,M,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Men's Volleyball,Gold,33.0?198.0?87.0,373.72
5932,3331,Amaury Antnio Pasos,M,Brazil,BRA,1960 Summer,1960,Summer,Roma,Basketball,Basketball Men's Basketball,Bronze,24.0*190.0?90.0,1882.46
5933,3331,Amaury Antnio Pasos,M,Brazil,BRA,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,Bronze,28.0(190.0?90.0,1887.86
5934,3332,Jos Emilio Amavisca Grate,M,Spain,ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold,21.0*182.0?68.0,1991.93
5937,3335,Ivn Amaya Carazo,M,Spain,ESP,2000 Summer,2000,Summer,Sydney,Football,Football Men's Football,Silver,22.0:188.0?85.0,1851.89
5976,3356,Amedeo Ambron,M,Italy,ITA,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Gold,21.0?174.0?77.0,1275.56
5986,3361,"Efetobore ""Efe"" Ambrose Emuobo",M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,19.0:187.0?70.0,1928.35
5987,3362,Bianca Ambrosetti,F,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Silver,14.0?nan?nan,667.45
5988,3363,Christie Ambrosi,F,United States,USA,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Gold,23.0?172.0?70.0,464.03
5992,3365,Ernesto Ambrosini,M,Italy,ITA,1920 Summer,1920,Summer,Antwerpen,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,25.0*nan?nan,1453.68
6014,3379,Mikls Ambrus,M,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Gold,31.0?185.0?90.0,172.22
6041,3397,Karl-Robert Ameln,M,Ali-Baba II,SWE,1948 Summer,1948,Summer,London,Sailing,Sailing Mixed 6 metres,Bronze,28.0?nan?nan,997.89
6043,3398,Rolf-Dieter Amend,M,East Germany-1,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,23.0(173.0?74.0,1521.13
6106,3433,Sbastien Amiez,M,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,Silver,29.0(180.0?87.0,1749.42
6136,3453,Slava Lvovich Amiragov,M,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Rowing,Rowing Men's Coxed Eights,Silver,26.0(nan?nan,710.19
6151,3461,Salvatore Amitrano,M,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze,28.0(184.0?73.0,1909.11
6157,3466,"Joseph Brian ""Joe"" Amlong",M,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold,27.0(186.0?86.0,388.6
6158,3467,"Thomas Kennedy ""Tom"" Amlong",M,United States,USA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Gold,29.0(186.0?91.0,504.13
6172,3472,Simon Ammann,M,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold,20.0:171.0?55.0,166.15
6173,3472,Simon Ammann,M,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold,20.0?171.0?55.0,975.9
6178,3472,Simon Ammann,M,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold,28.0:171.0?55.0,65.6
6179,3472,Simon Ammann,M,Switzerland,SUI,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Gold,28.0(171.0?55.0,401.74
6190,3476,Max Heinrich Ammermann,M,Favorite Hammonia-3,GER,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze,21.0(nan?nan,1760.36
6192,3477,Otto Ammermann,M,West Germany,FRG,1976 Summer,1976,Summer,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver,43.0(183.0?71.0,852.64
6206,3487,Daniel Owofin Amokachi,M,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Gold,23.0(182.0?78.0,572.27
6214,3491,"Anthony Lewis ""Tony"" Amonte",M,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,31.0:183.0?91.0,367.56
6217,3493,Edward John Amoore,M,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Gold,31.0:nan?nan,634.0
6218,3493,Edward John Amoore,M,Great Britain,GBR,1908 Summer,1908,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Bronze,31.0?nan?nan,103.69
6220,3494,"Judith Florence ""Judy"" Amoore-Pollock",F,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Bronze,24.0:163.0?55.0,486.46
6248,3507,Vanessa Amors Quiles,F,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze,29.0:165.0?62.0,188.2
6260,3512,Nijel Carlos Amilfitano Amos,M,Botswana,BOT,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 800 metres,Silver,18.0?179.0?60.0,523.99
6266,3514,Zinaida Stepanovna Amosova (Shishkina-),F,Soviet Union,URS,1976 Winter,1976,Winter,Innsbruck,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold,26.0:163.0?nan,1572.47
6268,3516,Gustave Joseph Amoudruz,M,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Pistol, Team",Bronze,35.0(nan?nan,1572.34
6271,3516,Gustave Joseph Amoudruz,M,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze,35.0:nan?nan,353.32
6275,3519,Roman Amoyan,M,Armenia,ARM,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,24.0?158.0?55.0,705.46
6280,3522,Edgar Montague Amphlett,M,Great Britain,GBR,1908 Summer,1908,Summer,London,Fencing,"Fencing Men's epee, Team",Silver,40.0(nan?nan,325.89
6286,3525,Uwe Ampler,M,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold,24.0*182.0?77.0,628.23
6301,3536,Franz Albert Amrhein,M,Frankfurt Club,GER,1900 Summer,1900,Summer,Paris,Rugby,Rugby Men's Rugby,Silver,29.0(nan?nan,949.16
6304,3537,Marwa Al-Amri,F,Tunisia,TUN,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Lightweight, Freestyle",Bronze,27.0*160.0?58.0,1224.85
6316,3544,Gaston Marcel Amson,M,France,FRA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Silver,36.0*nan?nan,356.13
6317,3544,Gaston Marcel Amson,M,France,FRA,1920 Summer,1920,Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Bronze,36.0*nan?nan,1223.31
6318,3544,Gaston Marcel Amson,M,France,FRA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Silver,44.0*nan?nan,334.51
6338,3552,Gail Amundrud (-Beattie),F,Canada,CAN,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,19.0:183.0?70.0,1627.3
6340,3554,Arthur Martinius Amundsen,M,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver,22.0:nan?nan,1901.83
6341,3554,Arthur Martinius Amundsen,M,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze,26.0:nan?nan,1429.29
6350,3557,Steinar Amundsen,M,Norway,NOR,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,23.0(195.0?88.0,951.85
6351,3557,Steinar Amundsen,M,Norway,NOR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,27.0(195.0?88.0,1783.12
6354,3559,Emmanuel Amunike,M,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Gold,25.0(176.0?70.0,272.13
6356,3561,Stanley Amuzie,M,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze,20.0(171.0?85.0,1936.41
6359,3563,"Francis ""Frank"" Amyot",M,Canada,CAN,1936 Summer,1936,Summer,Berlin,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold,31.0?188.0?84.0,1268.42
6363,3566,An Ba-Ul,M,South Korea,KOR,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Silver,22.0:169.0?66.0,156.89
6364,3567,An Byeong-Geun,M,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Lightweight,Gold,22.0?172.0?78.0,1407.11
6375,3574,An Dae-Hyeon,M,South Korea,KOR,1988 Summer,1988,Summer,Seoul,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,25.0(166.0?67.0,1716.0
6383,3581,An Han-Bong,M,South Korea,KOR,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold,23.0*163.0?62.0,88.25
6387,3585,An Jae-Hyeong,M,South Korea-2,KOR,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,Bronze,23.0?183.0?74.0,790.23
6393,3589,An Jeong-Hwa,F,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Handball,Handball Women's Handball,Bronze,27.0(162.0?62.0,444.13
6397,3593,An Kum-Ae,F,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Lightweight,Silver,28.0:160.0?52.0,865.75
6398,3593,An Kum-Ae,F,North Korea,PRK,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Lightweight,Gold,32.0:160.0?52.0,1374.34
6405,3595,An Sang-Mi,F,South Korea,KOR,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Women's 3,000 metres Relay",Gold,18.0?155.0?48.0,1061.03
6419,3604,Viktor An,M,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze,20.0?170.0?65.0,1692.11
6420,3604,Viktor An,M,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold,20.0*170.0?65.0,1913.74
6421,3604,Viktor An,M,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Gold,20.0*170.0?65.0,625.54
6422,3604,Viktor An,M,South Korea,KOR,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,20.0:170.0?65.0,38.25
6423,3604,Viktor An,M,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold,28.0:170.0?65.0,342.66
6424,3604,Viktor An,M,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold,28.0?170.0?65.0,776.09
6425,3604,Viktor An,M,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze,28.0*170.0?65.0,1647.24
6426,3604,Viktor An,M,Russia,RUS,2014 Winter,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold,28.0(170.0?65.0,798.31
6431,3608,An Yeong-Su,M,South Korea,KOR,1984 Summer,1984,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Silver,20.0?174.0?70.0,1022.64
6433,3610,An Yulong,M,China,CHN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Silver,19.0*173.0?70.0,1364.37
6435,3610,An Yulong,M,China,CHN,1998 Winter,1998,Winter,Nagano,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,19.0(173.0?70.0,134.1
6436,3610,An Yulong,M,China,CHN,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze,23.0:173.0?70.0,1998.95
6437,3611,An Zhongxin,F,China,CHN,1996 Summer,1996,Summer,Atlanta,Softball,Softball Women's Softball,Silver,23.0?170.0?65.0,788.65
6440,3612,Ana Flvia Chritaro Daniel Sanglard,F,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze,26.0(187.0?73.0,1970.01
6447,3615,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Volleyball,Volleyball Women's Volleyball,Bronze,24.0(183.0?68.0,1748.6
6466,3626,"Douglas Thomas ""Doug"" Anakin",M,Canada-1,CAN,1964 Winter,1964,Winter,Innsbruck,Bobsleigh,Bobsleigh Men's Four,Gold,33.0(nan?nan,1018.27
6476,3632,Borislav Ananiev,M,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze,24.0*185.0?80.0,246.87
6482,3635,Tatyana Vasilyevna Ananko,F,Belarus,BLR,2000 Summer,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,16.0(171.0?52.0,1832.48
6497,3643,Flavio Anastasia,M,Italy,ITA,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,23.0(188.0?81.0,697.08
6517,3652,Svetlana Anastasovski-Obuina,F,Yugoslavia,YUG,1980 Summer,1980,Summer,Moskva,Handball,Handball Women's Handball,Silver,19.0?176.0?65.0,1319.82
6518,3652,Svetlana Anastasovski-Obuina,F,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Gold,23.0*176.0?65.0,1216.04
6535,3659,Mario Ani,M,Croatia,CRO,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze,20.0*195.0?84.0,1421.47
6541,3661,"Julius Theodoor ""Jules"" Ancion",M,Netherlands,NED,1952 Summer,1952,Summer,Helsinki,Hockey,Hockey Men's Hockey,Silver,27.0(nan?nan,230.26
6542,3662,Zygmunt Jzef Anczok,M,Poland,POL,1972 Summer,1972,Summer,Munich,Football,Football Men's Football,Gold,26.0*178.0?77.0,1075.01
6557,3672,milie Andol,F,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Heavyweight,Gold,28.0*170.0?97.0,155.92
6558,3673,Olle Henrik Martin Anderberg,M,Sweden,SWE,1948 Summer,1948,Summer,London,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver,28.0(nan?nan,250.96
6559,3673,Olle Henrik Martin Anderberg,M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,32.0?nan?nan,227.72
6574,3676,"Stefan ""Steve"" Anderhub",M,Switzerland-1,SUI,2002 Winter,2002,Winter,Salt Lake City,Bobsleigh,Bobsleigh Men's Two,Silver,31.0:187.0?104.0,145.79
6582,3681,"Elizabeth Rambo ""Beth"" Anders",F,United States,USA,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Women's Hockey,Bronze,32.0:174.0?73.0,658.42
6587,3684,Aage Jrgen Christian Andersen,M,Denmark,DEN,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Gold,22.0(nan?nan,1016.69
6591,3686,Alf Steen Andersen,M,Norway,NOR,1928 Winter,1928,Winter,Sankt Moritz,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Gold,21.0(nan?nan,1213.59
6592,3687,Anders Peter Andersen,M,Denmark,DEN,1908 Summer,1908,Summer,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze,26.0*nan?70.0,1139.11
6597,3690,Anja Jul Andersen,F,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold,27.0*178.0?nan,532.33
6598,3691,Anne Dsane Andersen,F,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxless Pairs,Bronze,23.0*183.0?86.0,1596.74
6599,3692,Anne Nymark Andersen (-Rylandsholm),F,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze,23.0:168.0?56.0,1184.64
6607,3696,Axel Sigurd Andersen,M,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,20.0:nan?nan,296.85
6612,3701,Camilla Rseler Andersen,F,Denmark,DEN,1996 Summer,1996,Summer,Atlanta,Handball,Handball Women's Handball,Gold,23.0:169.0?65.0,1619.74
6613,3701,Camilla Rseler Andersen,F,Denmark,DEN,2000 Summer,2000,Summer,Sydney,Handball,Handball Women's Handball,Gold,27.0?169.0?65.0,1643.44
6614,3702,Carl Andersen,M,Denmark,DEN,1906 Summer,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Silver,27.0:nan?nan,150.23
6616,3703,Carl Albert Andersen,M,Norway,NOR,1900 Summer,1900,Summer,Paris,Athletics,Athletics Men's Pole Vault,Bronze,23.0?nan?nan,1197.1
6618,3703,Carl Albert Andersen,M,Norway,NOR,1906 Summer,1906,Summer,Athina,Gymnastics,Gymnastics Men's Team All-Around,Gold,29.0*nan?nan,1381.11
6619,3703,Carl Albert Andersen,M,Norway,NOR,1908 Summer,1908,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Silver,31.0(nan?nan,855.83
6621,3705,Carl Rudolf Svend Andersen,M,Denmark,DEN,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,20.0(nan?nan,297.98
6622,3706,Carl-Ebbe Andersen,M,Denmark,DEN,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Pairs,Gold,19.0(nan?nan,672.26
6642,3718,Johan Frederik Kobberup Andersen,M,Denmark,DEN,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,28.0:nan?nan,688.82
6645,3720,Frithjof Andersen,M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze,27.0?nan?nan,927.89
6652,3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,Denmark,DEN,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 100 metres Freestyle,Gold,21.0*nan?nan,641.7
6654,3725,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,Denmark,DEN,1948 Summer,1948,Summer,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,21.0*nan?nan,1736.13
6674,3734,Hjalmar Johan Andersen,M,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 1,500 metres",Gold,28.0:nan?nan,1497.46
6675,3734,Hjalmar Johan Andersen,M,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 5,000 metres",Gold,28.0(nan?nan,1907.44
6676,3734,Hjalmar Johan Andersen,M,Norway,NOR,1952 Winter,1952,Winter,Oslo,Speed Skating,"Speed Skating Men's 10,000 metres",Gold,28.0:nan?nan,507.01
6679,3735,Hjalmart Nrregaard Andersen (-Eering),M,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Bronze,22.0(nan?nan,1229.26
6695,3749,Jrgen Marius Andersen,M,Norway,NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Bronze,26.0:nan?nan,78.21
6696,3749,Jrgen Marius Andersen,M,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver,34.0*nan?nan,1852.01
6702,3754,Kjerstin Andersen,F,Norway,NOR,1988 Summer,1988,Summer,Seoul,Handball,Handball Women's Handball,Silver,29.0(179.0?82.0,569.23
6706,3756,Kristine Andersen,F,Denmark,DEN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Gold,28.0?172.0?72.0,852.74
6711,3760,Linda Widwey Andersen (-Cerup-Simonsen),F,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Sailing,Sailing Women's One Person Dinghy,Gold,23.0:169.0?64.0,1095.11
6713,3761,Mads Christian Kruse Andersen,M,Denmark,DEN,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Lightweight Coxless Fours,Gold,30.0(187.0?75.0,924.97
6714,3762,Peter Marius Andersen,M,Denmark,DEN,1908 Summer,1908,Summer,London,Football,Football Men's Football,Silver,23.0*nan?nan,1079.37
6721,3765,Niels Andersen,M,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Bronze,44.0(nan?nan,100.98
6724,3767,Nina Nymark Andersen (-Jakobsen),F,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,Bronze,23.0(173.0?60.0,183.79
6725,3768,Ove Andersen,M,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,28.0(178.0?70.0,1122.14
6728,3771,Peter Villemoes Andersen,M,Denmark,DEN,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver,28.0(nan?nan,1241.75
6733,3773,"Paul Kuhlman ""Poul"" Andersen",M,Denmark,DEN,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,Silver,30.0(173.0?73.0,1293.07
6735,3775,Reidar Andersen,M,Norway,NOR,1936 Winter,1936,Winter,Garmisch-Partenkirchen,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze,24.0*180.0?nan,806.38
6748,3782,Terje Andersen,M,Norway,NOR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze,27.0:180.0?75.0,71.3
6752,3785,Vigo Carl Andersen,M,Denmark,DEN,1906 Summer,1906,Summer,Athina,Football,Football Men's Football,Gold,21.0:nan?nan,311.73
6757,3788,Grete Andersen-Waitz,F,Norway,NOR,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's Marathon,Silver,30.0:172.0?53.0,1798.68
6759,3789,nderson Lus de Abreu Oliveira,M,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze,20.0?176.0?77.0,494.72
6760,3790,Anderson de Oliveira Rodrigues,M,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Gold,30.0:190.0?95.0,1515.32
6761,3790,Anderson de Oliveira Rodrigues,M,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Silver,34.0(190.0?95.0,1381.2
6763,3792,Alyssa Jean Anderson,F,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold,21.0*173.0?64.0,1023.61
6764,3793,Andrea Arlene Anderson (-Bolder),F,United States,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Gold,22.0*164.0?61.0,836.65
6771,3797,Brett Franklin Anderson,M,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze,20.0:193.0?104.0,788.45
